Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
652321017,-2808,-196,16008,-85,56,-53
652324424,-2856,-208,16000,-51,117,-55
652327870,-2812,-116,16036,-111,138,-75
652331426,-2728,-224,16020,-99,38,-50
652334810,-2812,-196,15964,-82,171,-62
652338280,-2788,-268,16020,-89,56,-66
652341663,-2896,-288,15996,-72,137,-23
652345133,-2760,-156,15992,-85,63,-71
652348516,-2852,-192,15868,-84,110,-43
652352035,-2864,-224,16032,-99,127,-71
652355456,-2676,-212,16048,-89,34,-77
652358840,-2832,-172,16084,-80,176,-40
652362310,-2836,-184,15928,-96,73,-47
652365693,-2740,-216,16072,-61,142,-74
652369163,-2772,-232,16068,-98,66,-71
652372546,-2968,-192,15900,-74,112,-36
652376039,-2856,-232,15876,-110,115,-69
652379573,-2856,-168,16012,-86,51,-74
652382994,-2728,-248,16172,-94,192,-61
652386426,-2904,-176,16064,-93,65,-92
652389809,-2884,-268,15980,-74,158,-66
652393279,-2776,-160,15900,-112,143,-84
652396836,-2896,-288,16064,-98,56,-60
652400244,-2828,-200,16028,-88,195,-77
652403689,-2660,-244,16064,-94,39,-50
652407072,-2780,-160,15948,-86,183,-63
652410543,-2848,-128,16048,-115,43,-85
652414012,-2836,-256,16076,-79,167,-37
652417483,-2752,-204,16036,-132,120,-80
652421039,-2928,-192,15928,-77,89,-59
652424447,-2828,-216,16100,-111,190,-73
652427979,-2840,-244,15892,-88,66,-48
652431363,-2888,-164,15980,-70,169,-63
652434832,-2752,-184,15840,-95,73,-60
652438216,-2800,-300,16056,-65,97,-63
652441599,-2868,-236,15988,-119,86,-86
652445069,-2720,-172,16232,-76,66,-81
652448452,-2852,-228,15852,-128,164,-87
652452058,-2772,-252,16000,-95,67,-85
652455392,-2836,-144,16008,-78,164,-93
652458862,-2760,-212,16060,-76,47,-47
652462246,-2804,-112,15920,-82,138,-38
652465715,-2888,-268,16012,-104,60,-71
652469185,-2840,-276,15988,-59,59,-66
652472569,-2844,-124,15928,-137,136,-60
652476149,-2980,-200,15980,-105,42,-67
652479596,-2736,-216,15876,-104,193,-62
652483187,-2768,-272,15900,-103,41,-67
652486622,-2812,-280,16068,-79,160,-44
652490092,-2792,-300,16076,-114,117,-73
652493649,-2828,-248,15908,-56,105,-55
652497119,-2772,-184,15952,-121,154,-67
652500700,-2964,-160,15892,-77,51,-28
652504059,-2736,-188,15896,-88,183,-85
652507529,-2876,-168,15968,-52,34,-48
652510912,-2592,-164,16072,-92,118,-57
652514382,-2836,-204,15984,-93,103,-66
652517852,-2816,-276,16012,-111,70,-88
652521322,-2792,-164,15948,-78,140,-21
652524817,-2804,-260,16008,-103,62,-78
652528262,-2908,-264,15936,-71,136,-13
652531732,-2696,-156,16024,-115,122,-91
652535289,-2832,-112,16008,-41,86,-9
652538585,-2772,-296,16056,-153,152,-82
652542142,-2892,-232,15864,-37,59,-40
652545526,-2764,-224,15892,-122,152,-85
652549086,-2860,-340,15924,-91,20,-32
652552526,-2744,-172,15924,-65,172,-85
652555935,-2868,-280,15980,-105,67,-58
652559406,-2756,-172,15808,-70,129,-78
652562876,-2856,-192,16104,-91,127,-56
652566346,-2756,-232,15920,-61,74,-73
652569729,-2864,-184,16028,-80,162,-86
652573199,-2836,-212,15936,-99,57,-66
652576605,-2912,-208,15988,-45,115,-39
652580052,-2840,-188,16056,-119,65,-91
652583557,-2972,-288,16032,-79,72,-42
652586905,-2744,-164,16028,-127,156,-78
652590462,-2792,-168,15912,-73,70,-55
652593845,-2908,-244,15880,-87,171,-53
652597315,-2896,-200,16024,-96,40,-65
652600723,-2804,-276,15936,-73,106,-61
652604168,-2788,-272,15828,-122,86,-64
652607638,-2704,-244,15976,-68,43,-39
652611022,-2816,-268,15932,-103,155,-73
652614579,-2736,-220,15892,-95,32,-70
652617962,-2772,-156,16004,-73,162,-48
652621432,-2820,-156,15964,-133,102,-80
652625013,-2812,-328,15984,-58,127,-27
652628458,-2716,-188,16024,-104,164,-71
652632015,-2800,-72,15944,-90,65,-32
652635312,-2808,-196,15804,-84,196,-53
652638782,-2796,-240,15972,-75,54,-64
652642165,-2676,-200,16000,-70,178,-21
652645635,-2848,-308,16008,-103,62,-59
652649108,-2804,-272,15828,-80,142,-53
652652623,-2772,-100,16080,-111,143,-45
652656132,-2828,-228,16048,-104,57,-79
652659602,-2768,-172,15960,-76,168,-66
652663072,-2812,-180,15888,-99,57,-46
652666455,-2768,-172,16112,-45,126,-54
652669925,-2752,-264,16016,-134,89,-60
652673395,-2792,-220,15820,-77,61,-43
652676801,-2812,-240,16052,-98,150,-82
652680248,-2876,-176,16144,-84,48,-77
652683666,-2876,-340,15956,-70,181,-80
652687101,-2720,-240,16044,-114,93,-80
652690571,-2804,-244,15880,-67,144,-49
652694042,-2932,-284,15968,-124,139,-101
652697685,-2740,-144,16024,-74,85,-40
652701093,-2852,-212,15984,-94,169,-68
652704538,-2840,-276,15964,-77,60,-64
652707921,-2908,-212,15980,-110,185,-91
652711478,-2836,-252,16000,-97,51,-53
652714862,-2776,-152,15908,-80,137,-72
652718332,-2864,-184,16088,-127,116,-69
652721888,-2708,-216,15880,-81,57,-71
652725296,-2876,-132,16100,-92,153,-29
652728742,-2768,-84,15964,-91,69,-72
652732038,-2736,-160,16092,-71,146,-41
652735508,-2832,-236,15832,-102,57,-105
652739065,-2860,-212,15872,-78,109,-75
652742535,-2864,-240,15976,-107,138,-37
652746091,-2756,-192,15868,-93,62,-85
652749523,-2816,-216,16028,-89,163,-38
652752945,-2772,-244,15956,-96,33,-84
652756328,-2800,-284,16012,-54,174,-57
652759798,-2732,-184,15884,-126,117,-41
652763355,-2848,-192,16024,-62,96,-44
652766738,-2772,-248,15936,-100,192,-99
652770295,-2796,-216,15964,-61,38,-46
652773678,-2684,-204,15888,-78,209,-67
652777171,-2816,-76,16044,-69,41,-59
652780444,-2676,-188,16012,-87,178,-70
652783950,-2908,-280,15984,-110,68,-54
652787385,-2856,-244,16012,-69,152,-79
652790854,-2728,-388,16084,-106,138,-41
652794411,-2832,-256,16096,-78,76,-70
652797795,-2848,-208,16072,-90,176,-31
652801289,-2740,-132,16004,-105,32,-68
652804735,-2744,-228,15964,-38,150,-37
652808204,-2760,-188,15984,-87,66,-75
652811588,-2904,-296,16008,-69,101,-34
652815058,-2748,-228,16068,-113,134,-42
652818615,-2736,-276,16024,-87,59,-53
652821998,-2772,-200,15948,-108,172,-59
652825579,-2808,-212,16008,-107,45,-46
652829024,-2760,-228,15972,-55,145,-44
652832494,-2928,-172,16160,-109,117,-67
652836051,-2808,-280,16080,-68,93,-61
652839434,-2780,-292,16132,-131,161,-82
652842991,-2820,-180,16068,-78,73,-54
652846375,-2832,-152,16104,-73,181,-78
652849893,-2732,-232,15968,-113,48,-61
652853314,-2816,-200,16056,-90,164,-56
652856785,-2796,-72,15996,-118,72,-43
652860168,-2716,-212,15824,-54,137,-46
652863638,-2732,-160,16044,-84,123,-58
652867108,-2768,-240,15900,-80,85,-87
652870491,-2784,-184,15884,-61,201,-56
652873965,-2792,-256,15916,-84,52,-50
652877368,-2708,-252,15936,-69,138,-67
652880814,-2884,-216,15940,-100,38,-62
652884319,-2792,-200,15868,-53,112,-71
652887754,-2876,-184,15892,-125,77,-73
652891224,-2780,-216,15972,-70,61,-63
652894612,-2840,-176,16048,-120,160,-84
652898164,-2672,-124,15916,-93,38,-84
652901572,-2848,-200,16120,-82,168,-43
652905018,-2852,-176,15956,-107,41,-69
652908488,-2804,-176,15904,-63,110,-45
652911957,-2780,-208,16236,-116,85,-70
652915428,-2840,-216,16120,-83,86,-49
652918811,-2808,-180,16036,-121,116,-84
652922367,-2888,-216,15984,-87,38,-84
652925775,-2716,-372,16056,-95,170,-58
652929221,-2764,-312,15952,-101,62,-73
652932691,-2824,-228,16052,-74,125,-68
652936161,-2768,-264,15940,-137,123,-86
652939717,-2888,-232,15936,-62,67,-54
652943101,-2840,-248,16016,-103,187,-40
652946658,-2752,-236,16068,-89,64,-64
652950090,-2832,-228,16052,-71,176,-52
652953511,-2868,-304,16088,-80,43,-55
652956894,-2760,-200,16020,-76,185,-75
652960364,-2780,-232,15948,-101,91,-87
652963834,-2844,-216,16052,-64,139,-45
652967304,-2872,-116,15976,-108,138,-59
652970861,-2760,-148,16036,-94,44,-51
652974248,-2840,-232,15968,-65,180,-51
652977737,-2820,-252,15992,-72,58,-61
652981097,-2852,-212,15948,-76,136,-61
652984602,-2752,-264,16068,-107,56,-73
652988037,-2928,-248,16004,-69,109,-85
652991507,-2852,-144,15796,-123,107,-96
652995064,-2836,-156,15868,-80,62,-82
652998447,-2820,-308,15984,-97,168,-64
