Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
64469,-5348,15212,-724,-63,119,-85
64522,-5344,15256,-840,-134,133,-79
64574,-5376,15376,-892,-68,82,-63
64627,-5376,15236,-820,-109,173,-77
64679,-5224,15256,-756,-84,92,-93
64732,-5436,15368,-832,-65,196,-79
64784,-5396,15252,-708,-83,81,-68
64837,-5312,15280,-816,-75,213,-68
64889,-5308,15280,-684,-69,77,-84
64942,-5372,15256,-936,-77,216,-94
64994,-5296,15324,-840,-93,59,-97
65047,-5392,15228,-832,-69,169,-59
65099,-5240,15320,-808,-94,91,-85
65152,-5272,15304,-864,-119,184,-111
65204,-5320,15340,-816,-73,95,-74
65257,-5324,15316,-984,-93,175,-65
65309,-5300,15268,-828,-84,86,-63
65362,-5408,15240,-928,-80,227,-57
65414,-5280,15216,-832,-81,61,-114
65467,-5356,15308,-804,-77,226,-99
65519,-5388,15152,-936,-91,57,-89
65571,-5364,15308,-844,-55,189,-69
65624,-5288,15188,-720,-82,123,-94
65676,-5340,15304,-836,-61,184,-81
65729,-5308,15284,-976,-97,90,-76
65781,-5240,15340,-844,-53,152,-79
65834,-5324,15264,-844,-90,87,-109
65887,-5268,15176,-900,-65,187,-68
65939,-5360,15304,-844,-96,92,-68
65992,-5372,15272,-816,-53,164,-48
66044,-5356,15196,-828,-103,117,-76
66097,-5300,15176,-936,-46,135,-70
66149,-5428,15232,-808,-79,75,-71
66201,-5320,15172,-788,-56,81,-81
66254,-5256,15220,-956,-89,176,-79
66306,-5204,15316,-840,-60,59,-74
66359,-5356,15264,-820,-108,169,-73
66412,-5360,15340,-932,-89,65,-87
66464,-5368,15304,-876,-48,137,-88
66517,-5288,15308,-940,-99,126,-80
66569,-5296,15172,-856,-61,184,-67
66622,-5300,15264,-876,-77,57,-68
66674,-5344,15248,-756,-61,168,-81
66727,-5276,15312,-780,-72,96,-100
66779,-5272,15324,-908,-44,169,-49
66832,-5308,15260,-800,-74,79,-60
66884,-5284,15184,-804,-50,83,-62
66936,-5288,15240,-656,-112,130,-83
66989,-5360,15252,-860,-68,96,-78
67041,-5260,15208,-876,-106,127,-97
67094,-5384,15268,-896,-75,92,-93
67146,-5328,15288,-860,-90,190,-88
67199,-5376,15208,-660,-79,87,-74
67251,-5304,15384,-876,-85,205,-84
67304,-5356,15348,-768,-76,74,-80
67356,-5224,15216,-872,-89,191,-61
67409,-5364,15244,-964,-68,79,-111
67461,-5308,15280,-880,-92,130,-86
67514,-5312,15196,-840,-58,135,-64
67566,-5388,15288,-816,-112,127,-96
67618,-5332,15264,-940,-62,99,-85
67671,-5304,15212,-836,-112,160,-67
67723,-5292,15244,-840,-77,97,-54
67776,-5348,15168,-1016,-128,167,-68
67828,-5432,15192,-756,-69,91,-92
67881,-5288,15308,-832,-104,110,-82
67933,-5216,15300,-848,-80,94,-77
67986,-5352,15284,-888,-95,168,-78
68038,-5328,15196,-780,-60,141,-75
68091,-5296,15348,-720,-113,116,-92
68143,-5356,15204,-912,-64,75,-72
68196,-5260,15216,-808,-111,156,-98
68248,-5340,15312,-788,-68,61,-94
68300,-5244,15184,-860,-107,116,-87
68353,-5320,15312,-876,-62,112,-60
68405,-5356,15240,-696,-102,183,-75
68458,-5316,15160,-936,-75,91,-79
68510,-5308,15256,-732,-68,192,-61
68563,-5232,15288,-772,-62,89,-72
68615,-5356,15256,-700,-102,148,-83
68668,-5436,15212,-916,-64,67,-75
68720,-5340,15204,-860,-88,170,-104
68773,-5368,15332,-1004,-79,94,-70
68825,-5352,15300,-732,-133,144,-62
68878,-5376,15324,-844,-49,155,-59
68930,-5344,15260,-812,-94,123,-63
68983,-5340,15316,-784,-71,141,-71
69035,-5284,15324,-880,-105,74,-73
69087,-5312,15236,-860,-61,193,-59
69140,-5308,15292,-712,-84,64,-73
69192,-5324,15260,-868,-67,215,-48
69245,-5432,15300,-836,-102,90,-99
69297,-5360,15116,-944,-76,193,-59
69350,-5288,15312,-832,-62,77,-92
69402,-5284,15320,-808,-94,218,-64
69455,-5384,15236,-740,-80,94,-84
