Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
11756619,2267,2633,-2394,-4,9,-37
11759655,2228,2644,-2344,-10,6,-37
11762827,2243,2648,-2367,-5,13,-38
11765901,2213,2675,-2331,-12,7,-36
11769024,2251,2636,-2363,-8,17,-30
11772148,2240,2649,-2326,-17,13,-27
11775357,2215,2662,-2318,-11,12,-26
11778567,2252,2677,-2339,-17,17,-24
11781777,2225,2662,-2336,-11,12,-17
11784986,2245,2657,-2352,-16,23,-14
11788238,2243,2668,-2317,-13,11,-14
11791406,2245,2663,-2335,-20,24,-9
11794529,2235,2665,-2316,-17,13,-8
11797652,2231,2682,-2348,-19,28,-2
11800775,2231,2665,-2341,-18,15,0
11803811,2243,2672,-2309,-20,29,5
11806847,2252,2642,-2300,-20,19,8
11809884,2264,2643,-2313,-17,21,14
11813031,2250,2654,-2334,-26,21,13
11816130,2239,2665,-2322,-20,25,16
11819253,2250,2672,-2319,-25,22,22
11822376,2228,2660,-2351,-18,24,23
11825499,2265,2659,-2324,-25,22,24
11828622,2245,2675,-2313,-14,21,21
11831745,2285,2674,-2332,-24,31,24
11834868,2261,2644,-2332,-17,15,24
11838015,2274,2648,-2303,-21,28,25
11841114,2253,2650,-2340,-13,21,26
11844237,2266,2662,-2292,-19,25,21
11847360,2268,2656,-2311,-10,19,22
11850483,2261,2642,-2326,-17,21,18
11853606,2262,2661,-2330,-13,9,12
11856642,2274,2651,-2321,-13,29,8
11859678,2251,2672,-2332,-8,11,4
11862676,2251,2644,-2336,-10,20,3
11865664,2259,2647,-2329,-5,10,0
11868613,2270,2643,-2317,-6,21,-7
11871650,2290,2663,-2313,-4,4,-5
11874599,2250,2651,-2348,-6,20,-15
11877722,2265,2674,-2338,-1,2,-18
11880758,2265,2643,-2362,-3,15,-22
11883881,2244,2639,-2343,3,3,-32
11886854,2241,2649,-2360,0,12,-34
11889902,2244,2643,-2342,5,3,-38
11892817,2263,2634,-2363,-1,9,-38
11895853,2281,2668,-2301,2,0,-43
11898802,2242,2646,-2307,2,14,-45
11901839,2234,2634,-2349,3,-2,-45
11904875,2240,2658,-2347,-1,14,-47
11907998,2256,2652,-2359,5,-2,-47
11911038,2252,2648,-2367,-2,12,-47
11914182,2228,2648,-2371,1,-2,-52
11917193,2269,2688,-2354,2,15,-42
11920230,2244,2654,-2334,0,2,-47
11923179,2247,2647,-2367,2,13,-46
11926215,2237,2667,-2341,-3,-1,-41
11929339,2215,2675,-2359,-2,18,-38
11932461,2245,2637,-2338,-9,-2,-37
11935584,2224,2662,-2320,-6,20,-35
11938732,2255,2651,-2336,-8,4,-33
11941744,2223,2672,-2360,-10,20,-27
11944953,2236,2664,-2326,-14,15,-24
11948163,2250,2681,-2325,-11,20,-16
11951373,2243,2670,-2362,-18,12,-18
11954583,2238,2660,-2354,-13,18,-13
11957792,2247,2673,-2329,-19,12,-7
11960919,2241,2667,-2293,-18,18,-4
11964088,2251,2661,-2316,-23,25,2
11967075,2209,2692,-2323,-18,21,9
11970111,2229,2661,-2321,-25,22,11
11973234,2240,2641,-2318,-19,21,12
11976357,2210,2646,-2325,-25,19,16
11979480,2256,2664,-2316,-20,24,22
11982603,2262,2682,-2335,-26,26,22
11985726,2254,2688,-2311,-24,17,27
11988872,2266,2646,-2302,-25,27,25
11992007,2250,2685,-2358,-18,21,29
11995095,2274,2671,-2287,-25,29,23
11998218,2257,2665,-2299,-20,17,25
12001341,2284,2664,-2301,-23,26,25
12004464,2257,2652,-2302,-15,20,22
12007587,2277,2660,-2350,-17,29,21
12010710,2252,2628,-2306,-14,19,17
