Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
23135304,2204,2721,-2321,-10,25,-12
23138538,2208,2699,-2285,-12,4,-10
23141637,2238,2712,-2295,-12,21,-10
23144847,2215,2668,-2282,-15,12,-14
23148056,2219,2682,-2282,-14,13,-11
23151266,2245,2709,-2303,-17,11,-16
23154476,2246,2711,-2308,-11,22,-17
23157686,2204,2738,-2343,-22,9,-16
23160809,2212,2715,-2322,-19,15,-15
23164067,2222,2695,-2292,-23,27,-19
23167228,2216,2683,-2309,-20,8,-14
23170351,2211,2701,-2280,-27,22,-22
23173561,2196,2691,-2264,-19,12,-22
23176771,2197,2702,-2288,-18,20,-20
23179980,2220,2703,-2324,-11,6,-27
23183103,2195,2667,-2275,-10,17,-28
23186313,2224,2754,-2319,-10,-4,-31
23189546,2200,2718,-2323,-9,19,-37
23192681,2194,2728,-2299,-14,8,-36
23195769,2232,2756,-2337,-12,20,-23
23198979,2208,2746,-2309,-13,14,-26
23202188,2159,2679,-2241,-4,24,-29
23205311,2187,2682,-2320,-10,9,-23
23208434,2214,2712,-2296,5,27,-22
23211474,2190,2719,-2284,-3,7,-17
23214531,2237,2700,-2286,2,11,7
23217370,2256,2743,-2280,4,9,8
23220146,2209,2735,-2294,12,32,25
23223182,2226,2687,-2293,5,21,35
23226131,2221,2694,-2331,8,35,41
23229081,2242,2681,-2356,4,15,38
23232030,2251,2680,-2298,0,34,39
23234980,2244,2671,-2296,-4,13,44
23238041,2299,2712,-2328,-9,30,50
23241052,2260,2653,-2278,-9,24,54
23244089,2302,2684,-2272,-12,36,52
23247212,2315,2733,-2353,-8,18,58
23250248,2282,2698,-2384,-6,45,50
23253284,2248,2683,-2309,-26,15,51
23256407,2246,2663,-2316,-41,26,48
23259530,2293,2652,-2360,-36,25,28
23262701,2295,2656,-2332,-35,41,24
23265776,2269,2652,-2283,-50,20,19
23268899,2322,2675,-2218,-52,37,42
23272022,2345,2697,-2289,-41,31,61
23275145,2264,2671,-2361,-5,34,45
23278181,2251,2705,-2385,-17,25,29
23281304,2299,2675,-2361,-37,11,24
23284427,2315,2664,-2324,-67,20,24
23287574,2350,2677,-2211,-66,29,16
23290673,2290,2666,-2151,-67,42,5
23293745,2281,2687,-2208,-53,31,-14
23296919,2219,2689,-2294,-44,18,-36
23300129,2164,2685,-2346,-45,-16,-67
23303426,2181,2684,-2261,-53,-22,-93
23306722,2232,2695,-2273,-54,-37,-116
23310105,2249,2701,-2212,-51,-5,-139
23313426,2239,2712,-2204,-48,-1,-160
23316698,2190,2686,-2230,-37,18,-173
23319995,2125,2741,-2240,-23,1,-196
23323205,2094,2744,-2291,-2,-16,-200
23326501,2099,2782,-2232,3,-36,-199
23329711,2124,2752,-2213,20,-42,-185
23333007,2153,2755,-2203,22,-23,-176
23336304,2128,2750,-2180,36,-16,-160
23339625,2089,2734,-2229,42,-2,-150
23342810,2073,2774,-2279,58,-23,-138
23346107,2070,2756,-2264,64,-16,-130
23349403,2109,2749,-2275,66,-40,-115
23352700,2108,2757,-2249,71,-30,-91
23355909,2150,2758,-2284,64,-17,-74
23359119,2142,2745,-2264,74,-1,-58
23362290,2129,2717,-2295,66,3,-46
23365278,2115,2733,-2329,72,11,-39
23368401,2118,2736,-2365,54,0,-29
23371438,2150,2724,-2353,47,-7,-13
23374561,2170,2734,-2339,35,13,6
23377510,2182,2719,-2319,31,12,27
23380546,2195,2719,-2310,17,35,46
23383583,2209,2738,-2326,14,32,64
23386622,2190,2696,-2402,4,49,79
23389592,2147,2703,-2386,-5,33,95
23392605,2197,2698,-2376,-13,40,112
23395849,2228,2708,-2354,-21,32,130
23399024,2283,2678,-2328,-37,49,150
23402234,2296,2675,-2342,-39,52,176
23405444,2281,2699,-2347,-44,77,186
23408653,2263,2664,-2385,-49,61,195
23411867,2285,2667,-2383,-50,76,197
23415097,2271,2654,-2377,-57,57,202
23418283,2299,2674,-2387,-64,62,204
23421492,2334,2684,-2374,-76,58,205
23424702,2324,2639,-2338,-69,73,198
23427912,2341,2659,-2275,-80,64,188
23431122,2342,2654,-2355,-76,65,169
23434331,2334,2644,-2290,-83,55,149
23437566,2330,2639,-2343,-77,46,128
23440751,2330,2638,-2296,-83,39,109
23443961,2359,2644,-2271,-78,36,85
23447084,2322,2648,-2271,-82,46,57
23450207,2337,2667,-2265,-71,32,34
23453330,2306,2657,-2260,-67,39,7
23456366,2275,2667,-2260,-60,18,-22
23459576,2270,2671,-2285,-59,19,-46
23462834,2281,2676,-2236,-48,-8,-78
23465995,2295,2669,-2240,-37,7,-98
23469118,2252,2687,-2226,-29,-12,-114
23472501,2263,2686,-2213,-18,4,-135
23475711,2240,2691,-2201,-12,-18,-154
23479094,2210,2698,-2256,8,-16,-175
23482304,2210,2699,-2227,9,-33,-188
23485514,2221,2728,-2250,24,-32,-201
23488834,2226,2748,-2227,27,-27,-209
23492107,2175,2743,-2233,39,-40,-208
23495407,2175,2744,-2220,41,-30,-213
23498735,2154,2731,-2237,49,-42,-215
23501996,2132,2740,-2280,57,-26,-211
23505293,2120,2730,-2221,59,-45,-210
23508589,2141,2722,-2277,65,-36,-200
23511910,2147,2756,-2241,60,-42,-186
23515182,2147,2748,-2255,64,-26,-172
23518479,2131,2725,-2291,59,-20,-154
23521775,2121,2748,-2318,62,-21,-140
23525072,2138,2752,-2321,55,-20,-124
23528368,2142,2746,-2371,55,-17,-107
23531665,2138,2744,-2300,44,-1,-75
23534788,2157,2738,-2339,44,-8,-53
23537935,2145,2722,-2324,31,13,-34
23541034,2179,2738,-2307,28,5,-11
23544070,2140,2745,-2337,23,25,11
23547106,2173,2719,-2348,15,13,29
23550143,2022,2431,-2107,-2,21,0
23553092,2270,2951,-2507,9,-18,46
23556128,2317,2929,-2600,11,66,96
23559165,2188,2768,-2271,-2,81,118
23562348,2118,2631,-2286,-76,-2,162
23565497,2318,2641,-2399,-30,76,110
23568707,2132,2654,-2370,-14,100,115
23572004,2144,2645,-2300,-65,27,142
23575213,2255,2683,-2328,-54,39,157
23578423,2342,2845,-2354,-53,36,176
23581633,2344,2767,-2388,-40,76,192
23584843,2238,2654,-2303,-49,69,191
23588076,2243,2678,-2324,-79,45,191
23591262,2270,2625,-2369,-72,73,158
23594472,2160,2506,-2236,-63,75,132
23597682,2037,2138,-1849,-99,18,45
23600840,2560,3238,-2727,-40,-20,103
23604101,2562,2976,-2657,-18,176,140
23607398,2174,2782,-2114,-68,29,161
23610607,2287,2382,-2303,-151,-38,157
23614015,2352,2526,-2271,0,104,-10
23617114,2092,2538,-2254,-55,23,12
23620237,2241,2555,-2143,-75,3,-22
23623360,2328,2791,-2226,-48,-6,-21
23626569,2404,2923,-2367,-32,-15,9
23629692,2401,2851,-2377,4,56,2
23632555,2195,2638,-2239,-4,29,-5
23635591,2212,2619,-2273,-50,-10,-27
23638912,2104,2278,-2144,-50,37,-188
23642184,2582,3583,-2791,24,-93,-189
23645481,2591,3272,-2820,21,-38,-100
23648777,2134,2622,-1913,42,68,-132
23651987,2102,2650,-2167,-147,-210,16
23655370,2434,2499,-2317,47,136,-191
23658667,2081,2785,-2277,32,-29,-126
23662012,2011,2262,-2093,-33,-40,-159
23665347,2176,2737,-2158,24,-59,-199
23668643,2277,2885,-2301,41,-69,-153
23671940,2362,3044,-2393,95,9,-125
23675063,2144,2832,-2290,63,-9,-72
23678186,2213,2760,-2399,6,-24,-50
23681309,2185,2585,-2305,23,9,-107
23684432,2049,2477,-2193,35,23,-150
23687665,2055,2557,-2134,23,-26,-164
23690938,2200,2874,-2297,38,-28,-119
23694234,2324,2963,-2386,55,-10,-67
23697444,2224,2966,-2379,56,-10,7
23700484,2165,2838,-2392,23,1,28
23703465,2162,2614,-2289,19,22,13
23706466,2114,2549,-2305,-2,4,-10
23709502,2123,2470,-2214,1,22,-41
23712563,2159,2718,-2303,-1,2,-46
23715575,2326,2920,-2455,8,6,11
23718438,2303,2939,-2435,13,27,59
23721474,2241,2807,-2366,6,39,106
23724510,2200,2660,-2332,-17,19,107
23727720,2206,2565,-2321,-9,53,79
23730756,2151,2532,-2283,-22,39,56
23733879,2192,2565,-2255,-32,33,42
23737027,2244,2724,-2325,-41,13,47
23740125,2329,2831,-2405,-33,39,83
23743248,2308,2844,-2396,-36,39,108
23746458,2282,2754,-2411,-39,45,126
23749668,2211,2595,-2309,-53,47,109
23752877,2172,2491,-2255,-54,40,81
23756000,2189,2549,-2253,-61,37,37
23759123,2236,2647,-2272,-50,28,22
23762295,2310,2827,-2356,-54,29,39
23765369,2333,2844,-2402,-43,27,62
23768492,2281,2753,-2359,-49,50,71
23771615,2243,2630,-2266,-53,30,57
23774738,2210,2568,-2242,-53,38,24
23777861,1927,2004,-1908,-63,15,-87
23781071,2399,3092,-2530,-24,-41,-63
23784368,2512,3115,-2776,4,36,-6
23787340,2230,2837,-2175,18,125,-13
23790527,2097,2773,-2221,-99,-98,69
23793737,2321,2426,-2284,-24,96,-86
23796946,2130,2726,-2059,6,-15,-166
23800156,2366,3113,-2680,-14,-54,-48
23803491,2277,2667,-2308,29,143,-76
23806662,2045,2923,-2093,-72,-141,23
23809959,2466,2555,-2362,-49,-10,-33
23813280,2255,2856,-2291,98,115,-101
23816552,1983,2614,-2232,-51,-33,-26
23819848,2196,2568,-2131,-18,-2,-91
23823058,2129,2632,-2191,12,-2,-94
